"date.time","temp","date","year","doy","hour","tempcalib","climatetype"
"10/12/18 8:00",20.71,2018-10-12,"2018",285,"8",20.87875,"hf11"
"10/12/18 9:00",20.62,2018-10-12,"2018",285,"9",20.78875,"hf11"
"10/12/18 10:00",20.42,2018-10-12,"2018",285,"10",20.58875,"hf11"
"10/12/18 11:00",20.33,2018-10-12,"2018",285,"11",20.49875,"hf11"
"10/12/18 12:00",20.23,2018-10-12,"2018",285,"12",20.39875,"hf11"
"10/12/18 13:00",19.95,2018-10-12,"2018",285,"13",20.11875,"hf11"
"10/12/18 14:00",19.95,2018-10-12,"2018",285,"14",20.11875,"hf11"
"10/12/18 15:00",19.85,2018-10-12,"2018",285,"15",20.01875,"hf11"
"10/12/18 16:00",19.85,2018-10-12,"2018",285,"16",20.01875,"hf11"
"10/12/18 17:00",19.85,2018-10-12,"2018",285,"17",20.01875,"hf11"
"10/12/18 18:00",19.76,2018-10-12,"2018",285,"18",19.92875,"hf11"
"10/12/18 19:00",19.76,2018-10-12,"2018",285,"19",19.92875,"hf11"
"10/12/18 20:00",19.76,2018-10-12,"2018",285,"20",19.92875,"hf11"
"10/12/18 21:00",19.66,2018-10-12,"2018",285,"21",19.82875,"hf11"
"10/12/18 22:00",19.57,2018-10-12,"2018",285,"22",19.73875,"hf11"
"10/12/18 23:00",19.57,2018-10-12,"2018",285,"23",19.73875,"hf11"
"10/13/18 0:00",19.47,2018-10-13,"2018",286,"0",19.63875,"hf11"
"10/13/18 1:00",19.47,2018-10-13,"2018",286,"1",19.63875,"hf11"
"10/13/18 2:00",19.38,2018-10-13,"2018",286,"2",19.54875,"hf11"
"10/13/18 3:00",19.38,2018-10-13,"2018",286,"3",19.54875,"hf11"
"10/13/18 4:00",19.28,2018-10-13,"2018",286,"4",19.44875,"hf11"
"10/13/18 5:00",19.28,2018-10-13,"2018",286,"5",19.44875,"hf11"
"10/13/18 6:00",19.19,2018-10-13,"2018",286,"6",19.35875,"hf11"
"10/13/18 7:00",19.09,2018-10-13,"2018",286,"7",19.25875,"hf11"
"10/13/18 8:00",19.09,2018-10-13,"2018",286,"8",19.25875,"hf11"
"10/13/18 9:00",19,2018-10-13,"2018",286,"9",19.16875,"hf11"
"10/13/18 10:00",19,2018-10-13,"2018",286,"10",19.16875,"hf11"
"10/13/18 11:00",18.9,2018-10-13,"2018",286,"11",19.06875,"hf11"
"10/13/18 12:00",18.9,2018-10-13,"2018",286,"12",19.06875,"hf11"
"10/13/18 13:00",18.81,2018-10-13,"2018",286,"13",18.97875,"hf11"
"10/13/18 14:00",18.71,2018-10-13,"2018",286,"14",18.87875,"hf11"
"10/13/18 15:00",18.71,2018-10-13,"2018",286,"15",18.87875,"hf11"
"10/13/18 16:00",18.62,2018-10-13,"2018",286,"16",18.78875,"hf11"
"10/13/18 17:00",18.62,2018-10-13,"2018",286,"17",18.78875,"hf11"
"10/13/18 18:00",18.62,2018-10-13,"2018",286,"18",18.78875,"hf11"
"10/13/18 19:00",18.62,2018-10-13,"2018",286,"19",18.78875,"hf11"
"10/13/18 20:00",18.62,2018-10-13,"2018",286,"20",18.78875,"hf11"
"10/13/18 21:00",18.62,2018-10-13,"2018",286,"21",18.78875,"hf11"
"10/13/18 22:00",18.62,2018-10-13,"2018",286,"22",18.78875,"hf11"
"10/13/18 23:00",18.62,2018-10-13,"2018",286,"23",18.78875,"hf11"
"10/14/18 0:00",18.62,2018-10-14,"2018",287,"0",18.78875,"hf11"
"10/14/18 1:00",18.62,2018-10-14,"2018",287,"1",18.78875,"hf11"
"10/14/18 2:00",18.62,2018-10-14,"2018",287,"2",18.78875,"hf11"
"10/14/18 3:00",18.62,2018-10-14,"2018",287,"3",18.78875,"hf11"
"10/14/18 4:00",18.62,2018-10-14,"2018",287,"4",18.78875,"hf11"
"10/14/18 5:00",18.62,2018-10-14,"2018",287,"5",18.78875,"hf11"
"10/14/18 6:00",18.62,2018-10-14,"2018",287,"6",18.78875,"hf11"
"10/14/18 7:00",18.62,2018-10-14,"2018",287,"7",18.78875,"hf11"
"10/14/18 8:00",18.62,2018-10-14,"2018",287,"8",18.78875,"hf11"
"10/14/18 9:00",18.62,2018-10-14,"2018",287,"9",18.78875,"hf11"
"10/14/18 10:00",18.52,2018-10-14,"2018",287,"10",18.68875,"hf11"
"10/14/18 11:00",18.52,2018-10-14,"2018",287,"11",18.68875,"hf11"
"10/14/18 12:00",18.52,2018-10-14,"2018",287,"12",18.68875,"hf11"
"10/14/18 13:00",18.43,2018-10-14,"2018",287,"13",18.59875,"hf11"
"10/14/18 14:00",18.43,2018-10-14,"2018",287,"14",18.59875,"hf11"
"10/14/18 15:00",18.43,2018-10-14,"2018",287,"15",18.59875,"hf11"
"10/14/18 16:00",18.43,2018-10-14,"2018",287,"16",18.59875,"hf11"
"10/14/18 17:00",18.43,2018-10-14,"2018",287,"17",18.59875,"hf11"
"10/14/18 18:00",18.43,2018-10-14,"2018",287,"18",18.59875,"hf11"
"10/14/18 19:00",18.52,2018-10-14,"2018",287,"19",18.68875,"hf11"
"10/14/18 20:00",18.52,2018-10-14,"2018",287,"20",18.68875,"hf11"
"10/14/18 21:00",18.52,2018-10-14,"2018",287,"21",18.68875,"hf11"
"10/14/18 22:00",18.52,2018-10-14,"2018",287,"22",18.68875,"hf11"
"10/14/18 23:00",18.52,2018-10-14,"2018",287,"23",18.68875,"hf11"
"10/15/18 0:00",18.52,2018-10-15,"2018",288,"0",18.68875,"hf11"
"10/15/18 1:00",18.52,2018-10-15,"2018",288,"1",18.68875,"hf11"
"10/15/18 2:00",18.43,2018-10-15,"2018",288,"2",18.59875,"hf11"
"10/15/18 3:00",18.43,2018-10-15,"2018",288,"3",18.59875,"hf11"
"10/15/18 4:00",18.43,2018-10-15,"2018",288,"4",18.59875,"hf11"
"10/15/18 5:00",18.43,2018-10-15,"2018",288,"5",18.59875,"hf11"
"10/15/18 6:00",18.33,2018-10-15,"2018",288,"6",18.49875,"hf11"
"10/15/18 7:00",18.43,2018-10-15,"2018",288,"7",18.59875,"hf11"
"10/15/18 8:00",18.33,2018-10-15,"2018",288,"8",18.49875,"hf11"
"10/15/18 9:00",18.33,2018-10-15,"2018",288,"9",18.49875,"hf11"
"10/15/18 10:00",18.33,2018-10-15,"2018",288,"10",18.49875,"hf11"
"10/15/18 11:00",18.33,2018-10-15,"2018",288,"11",18.49875,"hf11"
"10/15/18 12:00",18.33,2018-10-15,"2018",288,"12",18.49875,"hf11"
"10/15/18 13:00",18.24,2018-10-15,"2018",288,"13",18.40875,"hf11"
"10/15/18 14:00",18.33,2018-10-15,"2018",288,"14",18.49875,"hf11"
"10/15/18 15:00",18.33,2018-10-15,"2018",288,"15",18.49875,"hf11"
"10/15/18 16:00",18.33,2018-10-15,"2018",288,"16",18.49875,"hf11"
"10/15/18 17:00",18.43,2018-10-15,"2018",288,"17",18.59875,"hf11"
"10/15/18 18:00",18.43,2018-10-15,"2018",288,"18",18.59875,"hf11"
"10/15/18 19:00",18.43,2018-10-15,"2018",288,"19",18.59875,"hf11"
"10/15/18 20:00",18.43,2018-10-15,"2018",288,"20",18.59875,"hf11"
"10/15/18 21:00",18.52,2018-10-15,"2018",288,"21",18.68875,"hf11"
"10/15/18 22:00",18.52,2018-10-15,"2018",288,"22",18.68875,"hf11"
"10/15/18 23:00",18.52,2018-10-15,"2018",288,"23",18.68875,"hf11"
"10/16/18 0:00",18.52,2018-10-16,"2018",289,"0",18.68875,"hf11"
"10/16/18 1:00",18.52,2018-10-16,"2018",289,"1",18.68875,"hf11"
"10/16/18 2:00",18.52,2018-10-16,"2018",289,"2",18.68875,"hf11"
"10/16/18 3:00",18.52,2018-10-16,"2018",289,"3",18.68875,"hf11"
"10/16/18 4:00",18.62,2018-10-16,"2018",289,"4",18.78875,"hf11"
"10/16/18 5:00",18.62,2018-10-16,"2018",289,"5",18.78875,"hf11"
"10/16/18 6:00",18.62,2018-10-16,"2018",289,"6",18.78875,"hf11"
"10/16/18 7:00",18.62,2018-10-16,"2018",289,"7",18.78875,"hf11"
"10/16/18 8:00",18.62,2018-10-16,"2018",289,"8",18.78875,"hf11"
"10/16/18 9:00",18.62,2018-10-16,"2018",289,"9",18.78875,"hf11"
"10/16/18 10:00",18.62,2018-10-16,"2018",289,"10",18.78875,"hf11"
"10/16/18 11:00",18.62,2018-10-16,"2018",289,"11",18.78875,"hf11"
"10/16/18 12:00",18.62,2018-10-16,"2018",289,"12",18.78875,"hf11"
"10/16/18 13:00",18.62,2018-10-16,"2018",289,"13",18.78875,"hf11"
"10/16/18 14:00",18.62,2018-10-16,"2018",289,"14",18.78875,"hf11"
"10/16/18 15:00",18.62,2018-10-16,"2018",289,"15",18.78875,"hf11"
"10/16/18 16:00",18.62,2018-10-16,"2018",289,"16",18.78875,"hf11"
"10/16/18 17:00",18.62,2018-10-16,"2018",289,"17",18.78875,"hf11"
"10/16/18 18:00",18.62,2018-10-16,"2018",289,"18",18.78875,"hf11"
"10/16/18 19:00",18.62,2018-10-16,"2018",289,"19",18.78875,"hf11"
"10/16/18 20:00",18.62,2018-10-16,"2018",289,"20",18.78875,"hf11"
"10/16/18 21:00",18.62,2018-10-16,"2018",289,"21",18.78875,"hf11"
"10/16/18 22:00",18.62,2018-10-16,"2018",289,"22",18.78875,"hf11"
"10/16/18 23:00",18.62,2018-10-16,"2018",289,"23",18.78875,"hf11"
"10/17/18 0:00",18.62,2018-10-17,"2018",290,"0",18.78875,"hf11"
"10/17/18 1:00",18.62,2018-10-17,"2018",290,"1",18.78875,"hf11"
"10/17/18 2:00",18.71,2018-10-17,"2018",290,"2",18.87875,"hf11"
"10/17/18 3:00",18.71,2018-10-17,"2018",290,"3",18.87875,"hf11"
"10/17/18 4:00",18.62,2018-10-17,"2018",290,"4",18.78875,"hf11"
"10/17/18 5:00",18.62,2018-10-17,"2018",290,"5",18.78875,"hf11"
"10/17/18 6:00",18.52,2018-10-17,"2018",290,"6",18.68875,"hf11"
"10/17/18 7:00",18.52,2018-10-17,"2018",290,"7",18.68875,"hf11"
"10/17/18 8:00",18.52,2018-10-17,"2018",290,"8",18.68875,"hf11"
"10/17/18 9:00",18.52,2018-10-17,"2018",290,"9",18.68875,"hf11"
"10/17/18 10:00",18.52,2018-10-17,"2018",290,"10",18.68875,"hf11"
"10/17/18 11:00",18.43,2018-10-17,"2018",290,"11",18.59875,"hf11"
"10/17/18 12:00",18.43,2018-10-17,"2018",290,"12",18.59875,"hf11"
"10/17/18 13:00",18.43,2018-10-17,"2018",290,"13",18.59875,"hf11"
"10/17/18 14:00",18.33,2018-10-17,"2018",290,"14",18.49875,"hf11"
"10/17/18 15:00",18.33,2018-10-17,"2018",290,"15",18.49875,"hf11"
"10/17/18 16:00",18.33,2018-10-17,"2018",290,"16",18.49875,"hf11"
"10/17/18 17:00",18.33,2018-10-17,"2018",290,"17",18.49875,"hf11"
"10/17/18 18:00",18.33,2018-10-17,"2018",290,"18",18.49875,"hf11"
"10/17/18 19:00",18.43,2018-10-17,"2018",290,"19",18.59875,"hf11"
"10/17/18 20:00",18.43,2018-10-17,"2018",290,"20",18.59875,"hf11"
"10/17/18 21:00",18.43,2018-10-17,"2018",290,"21",18.59875,"hf11"
"10/17/18 22:00",18.52,2018-10-17,"2018",290,"22",18.68875,"hf11"
"10/17/18 23:00",18.62,2018-10-17,"2018",290,"23",18.78875,"hf11"
"10/18/18 0:00",18.62,2018-10-18,"2018",291,"0",18.78875,"hf11"
"10/18/18 1:00",18.71,2018-10-18,"2018",291,"1",18.87875,"hf11"
"10/18/18 2:00",18.71,2018-10-18,"2018",291,"2",18.87875,"hf11"
