"","mean","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$","307.45","303.99","310.89","297.13","318.19"
"$\mu_{site}$","0.07","-0.5","0.66","-1.54","1.69"
"$\mu_{method}$","4.93","2.35","7.6","-3.09","12.52"
"$\mu_{sitexmethod}$","-0.39","-1.16","0.36","-2.81","1.84"
"$\sigma_{site}$","0.68","0.26","0.98","0.02","1.93"
"$\sigma_{method}$","14.63","12.37","16.33","9.81","22.36"
"$\sigma_{sitexmethod}$","0.86","0.33","1.23","0.03","2.59"
"$\sigma_{\alpha}$","21.79","18.43","24.37","14.47","33.19"
"$\sigma_{y}$","15.55","15.42","15.67","15.16","15.95"
"$N_{sp}$","15","","","",""
