"date","year","doy","hour","tmin","tmax","tmean","climatetype","precip"
2016-01-01,2016,1,"00",0.13,4.27,2.68,"weldhill",0
2016-01-01,2016,1,"01",0.13,4.27,2.55,"weldhill",0
2016-01-01,2016,1,"02",0.13,4.27,2.34,"weldhill",0
2016-01-01,2016,1,"03",0.13,4.27,2.2,"weldhill",0
2016-01-01,2016,1,"04",0.13,4.27,2.2,"weldhill",0
2016-01-01,2016,1,"05",0.13,4.27,2.17,"weldhill",0
2016-01-01,2016,1,"06",0.13,4.27,1.48,"weldhill",0
2016-01-01,2016,1,"07",0.13,4.27,1.17,"weldhill",0
2016-01-01,2016,1,"08",0.13,4.27,1.98,"weldhill",0
2016-01-01,2016,1,"09",0.13,4.27,2.74,"weldhill",0
2016-01-01,2016,1,"10",0.13,4.27,3.42,"weldhill",0
2016-01-01,2016,1,"11",0.13,4.27,3.92,"weldhill",0
2016-01-01,2016,1,"12",0.13,4.27,4.14,"weldhill",0
2016-01-01,2016,1,"13",0.13,4.27,4.1,"weldhill",0
2016-01-01,2016,1,"14",0.13,4.27,3.83,"weldhill",0
2016-01-01,2016,1,"15",0.13,4.27,3.51,"weldhill",0
2016-01-01,2016,1,"16",0.13,4.27,3.23,"weldhill",0
2016-01-01,2016,1,"17",0.13,4.27,2.89,"weldhill",0
2016-01-01,2016,1,"18",0.13,4.27,2.57,"weldhill",0
2016-01-01,2016,1,"19",0.13,4.27,2.15,"weldhill",0
2016-01-01,2016,1,"20",0.13,4.27,1.68,"weldhill",0
2016-01-01,2016,1,"21",0.13,4.27,1.58,"weldhill",0
2016-01-01,2016,1,"22",0.13,4.27,0.96,"weldhill",0
2016-01-01,2016,1,"23",0.13,4.27,0.34,"weldhill",0
2016-01-02,2016,2,"00",-1.67,3.96,-0.15,"weldhill",0
2016-01-02,2016,2,"01",-1.67,3.96,-0.3,"weldhill",0
2016-01-02,2016,2,"02",-1.67,3.96,-0.9,"weldhill",0
2016-01-02,2016,2,"03",-1.67,3.96,-1.47,"weldhill",0
2016-01-02,2016,2,"04",-1.67,3.96,-1.59,"weldhill",0
2016-01-02,2016,2,"05",-1.67,3.96,-1.28,"weldhill",0
2016-01-02,2016,2,"06",-1.67,3.96,-0.84,"weldhill",0
2016-01-02,2016,2,"07",-1.67,3.96,-0.82,"weldhill",0
2016-01-02,2016,2,"08",-1.67,3.96,-0.7,"weldhill",0
2016-01-02,2016,2,"09",-1.67,3.96,0.6,"weldhill",0
2016-01-02,2016,2,"10",-1.67,3.96,2.01,"weldhill",0
2016-01-02,2016,2,"11",-1.67,3.96,3,"weldhill",0
2016-01-02,2016,2,"12",-1.67,3.96,3.24,"weldhill",0
2016-01-02,2016,2,"13",-1.67,3.96,3.63,"weldhill",0
2016-01-02,2016,2,"14",-1.67,3.96,3.47,"weldhill",0
2016-01-02,2016,2,"15",-1.67,3.96,3.06,"weldhill",0
2016-01-02,2016,2,"16",-1.67,3.96,2.04,"weldhill",0
2016-01-02,2016,2,"17",-1.67,3.96,1.43,"weldhill",0
2016-01-02,2016,2,"18",-1.67,3.96,0.49,"weldhill",0
2016-01-02,2016,2,"19",-1.67,3.96,0.5,"weldhill",0
2016-01-02,2016,2,"20",-1.67,3.96,0.43,"weldhill",0
2016-01-02,2016,2,"21",-1.67,3.96,0.32,"weldhill",0
2016-01-02,2016,2,"22",-1.67,3.96,0,"weldhill",0
2016-01-02,2016,2,"23",-1.67,3.96,0.1,"weldhill",0
2016-01-03,2016,3,"00",-1.56,6.18,0.21,"weldhill",0
2016-01-03,2016,3,"01",-1.56,6.18,0,"weldhill",0
2016-01-03,2016,3,"02",-1.56,6.18,-0.97,"weldhill",0
2016-01-03,2016,3,"03",-1.56,6.18,-1.27,"weldhill",0
2016-01-03,2016,3,"04",-1.56,6.18,-1.13,"weldhill",0
2016-01-03,2016,3,"05",-1.56,6.18,-1.27,"weldhill",0
2016-01-03,2016,3,"06",-1.56,6.18,-1.23,"weldhill",0
2016-01-03,2016,3,"07",-1.56,6.18,-1.35,"weldhill",0
2016-01-03,2016,3,"08",-1.56,6.18,0.21,"weldhill",0
2016-01-03,2016,3,"09",-1.56,6.18,2.39,"weldhill",0
2016-01-03,2016,3,"10",-1.56,6.18,4.02,"weldhill",0
2016-01-03,2016,3,"11",-1.56,6.18,5.24,"weldhill",0
2016-01-03,2016,3,"12",-1.56,6.18,5.49,"weldhill",0
2016-01-03,2016,3,"13",-1.56,6.18,5.57,"weldhill",0
2016-01-03,2016,3,"14",-1.56,6.18,6.02,"weldhill",0
2016-01-03,2016,3,"15",-1.56,6.18,5.59,"weldhill",0
