"","Estimate","Est.Error","l-95% CI","u-95% CI","Eff.Sample","Rhat"
"sd(Intercept)",64.339025621658,33.2835330239047,3.55574223933508,118.24389645696,843.314565856881,1.00664008180246
"sd(Intercept)",65.3225207487042,33.2873537109154,3.96328893971226,119.133948268611,837.376699127431,1.00558146183399
"sigma",65.5030799051304,1.44879527652097,62.7432123033223,68.4398530154966,25556.2050446618,1.00002673362572
