"","Estimate","Est.Error","l-95% CI","u-95% CI","Eff.Sample","Rhat"
"Intercept",463.954741185206,19.9989936559626,423.814769628535,503.423583436729,7728.19430799581,1.00009518834269
"urban",-122.435089953539,22.8892552369571,-169.231526663922,-78.0852257101436,7403.5162922117,1.00022791982507
"sd(Intercept)",42.6677186285996,21.2991520574266,3.86261866200156,87.694465661016,2894.13208453753,1.00124744142769
"sd(urban)",63.8087579880745,19.3805516780401,32.3586431727573,108.521280194216,5347.96634875139,1.00040277321968
"cor(Intercept,urban)",-0.528241893858908,0.376136431106744,-0.978231057124821,0.485298334742351,1911.13945456527,1.00014056561547
"sd(Intercept)",32.4936216082556,18.166256191611,1.88367196975212,69.7348348323976,2224.28485718119,1.00149606897335
"sigma",72.5410414704562,2.96751960548629,67.041746179509,78.640383356033,17353.0803375257,1.00006825748749
