"Individual","Plot","eos"
"SORAME_SH_3A",10,221
"SORAME_GR_9B",10,225
"BETALL_GR_14",15,225
"BETALL_GR_14",16,225
"BETALL_GR_14",15,228
"ALNINC_HF_9",2,232
"BETALL_SH_5",9,232
"QUERUB_WM_9",9,232
"BETALL_GR_14",15,232
"BETALL_WM_9",9,235
"ALNINC_HF_9",15,235
"BETPOP_GR_5",1,239
"BETALL_SH_9",6,239
"ALNINC_HF_5",6,239
"BETALL_WM_8",9,239
"BETALL_SH_9",9,239
"BETALL_SH_4A",9,239
"BETALL_SH_4B",9,239
"BETALL_SH_7",16,239
"BETPAP_GR_8",6,246
"ALNINC_HF_9",15,246
"ALNINC_GR_8",16,246
"ALNINC_SH_5",2,253
"ALNINC_WM_5B",2,253
"BETALL_GR_1",3,253
"BETPAP_GR_8",5,253
"BETPOP_GR_5C",12,253
"BETALL_GR_13",15,253
"BETALL_WM_8A",5,256
"BETPOP_HF_3",1,260
"ALNINC_HF_2",1,260
"ALNINC_HF_1",1,260
"BETPOP_GR_5",1,260
"ALNINC_SH_4",2,260
"ACEPEN_WM_5",2,260
"BETPOP_GR_5B",3,260
"BETPAP_SH_1A",1,263
"BETPAP_SH_1B",1,263
"BETPAP_GR_5A",2,263
"BETALL_GR_13",2,263
"ALNINC_WM_5A",2,263
"BETPAP_HF_16",2,263
"BETPOP_HF_5",2,263
"BETALL_GR_9",3,263
"BETALL_SH_4",3,263
"BETPOP_GR_5A",3,263
"MYRGAL_SH_1B",4,263
"ALNINC_GR_8A",5,263
"BETPOP_HF_3A",6,263
"BETPOP_HF_3B",6,263
"BETALL_SH_5",6,263
"BETALL_SH_2",6,263
"ALNINC_HF_9",6,263
"ALNINC_SH_8",9,263
"BETPOP_HF_4",9,263
"SORAME_GR_9A",10,263
"ALNINC_SH_1",12,263
"BETPAP_GR_8",12,263
"BETPOP_WM_9",15,263
"ALNINC_HF_1",16,263
"ALNINC_WM_5B",16,263
"BETPOP_WM_7",1,268
"BETALL_GR_13",1,268
"BETALL_GR_12",1,268
"BETPOP_HF_1",2,268
"BETPAP_GR_8",3,268
"BETPOP_WM_7",3,268
"BETPOPX_X",3,268
