Individual_ID,Scientific_Name,Plant_Nickname,Patch,Patch_Size,Shade_Status,Wild,Watered,Fertilized,Gender,Planting_Date,Plant_Comments,Plant_Registration_Date,Death_Date_Observed,Last_Date_Observed_Alive,Death_Reason,Death_Comments,Plant_Image_URL,Plant_Image_Upload_Date
135343,Fagus grandifolia,"14585*B, Tree 1",,,,,,,,--,,2017-04-19,2018-06-12,,Disease,,https://mynpn.usanpn.org/images/c1fb9b32ec304dadd751fc94c55b2d6-30520.jpg,2018-06-12 10:23:27
135911,Fagus grandifolia,"22798*A, Tree 0",,,,,,,,--,Accession Date: 07-01-1948,2017-04-24,2018-06-12,,Disease,,https://mynpn.usanpn.org/images/29e8a593ecb63ebdf40cdfe3cc2eea0-30520.jpg,2018-06-12 10:20:52
166763,Acer rubrum,"1196-84*A, Tree 5",,,,,,,,1984-10-15,,2018-05-25,,,,,https://mynpn.usanpn.org/images/d0eba52c66c89dd72e3376d514c86339-30520.jpg,2018-06-12 10:05:46
166764,Acer rubrum,"567-2008*B, Tree 6",,,,,,,,2008-10-16,,2018-05-25,,,,,https://mynpn.usanpn.org/images/3853e9428718b7e8b29872353b3016c6-30520.jpg,2018-06-12 10:06:46
166765,Acer rubrum,"15350*A, Tree 7",,,,,,,,1924-04-16,,2018-05-25,,,,,https://mynpn.usanpn.org/images/9a19e8da51e488d3965103a5dc29282-30520.jpg,2018-06-12 10:09:28
166766,Acer rubrum,"525-2009*A, Tree 8",,,,,,,,2009-09-09,,2018-05-25,,,,,https://mynpn.usanpn.org/images/f2235966b49822162d93e7806954f8-30520.jpg,2018-06-12 10:10:18
166767,Acer rubrum,"524-2009*A, Tree 9",,,,,,,,2009-09-09,,2018-05-25,,,,,https://mynpn.usanpn.org/images/6fbcf8cc949455c56366555d718a46bb-30520.jpg,2018-06-12 10:11:13
166768,Vaccinium corymbosum,"386-71*B, Tree 1",,,,,,,,1971-02-16,Sample comment,2018-05-25,,,,,https://mynpn.usanpn.org/images/264f6bab19d9959e4bf1f7fa474441c-30520.jpg,2018-06-11 13:37:35
166769,Vaccinium corymbosum,"285-2007*E, Tree 2",,,,,,,,2007-05-15,,2018-05-25,,,,,https://mynpn.usanpn.org/images/edb8a9f01c44ba8335dbbc268751a55c-30520.jpg,2018-06-11 13:38:16
166773,Vaccinium corymbosum,"529-2009*A, Tree 3",,,,,,,,2009-09-09,,2018-05-25,,,,,https://mynpn.usanpn.org/images/8d1328e1cfeac6ab3153373e6bf1e920-30520.jpg,2018-06-11 13:39:38
166774,Vaccinium corymbosum,"530-2009*A, Tree 4",,,,,,,,2009-09-09,,2018-05-25,,,,,https://mynpn.usanpn.org/images/c316c8c833e71d419e76122b828df1-30520.jpg,2018-06-11 13:41:06
166775,Vaccinium corymbosum,"657-2008*A, Tree 5",,,,,,,,2008-10-30,,2018-05-25,,,,,https://mynpn.usanpn.org/images/ee16cb20d533b326b9b322dec1195320-30520.jpg,2018-06-11 13:44:32
166776,Hamamelis virginiana,"22947*B, Tree 10",,,,,,,,1951-07-01,,2018-05-25,,,,,https://mynpn.usanpn.org/images/dad4b149b466b6354fffea772fa8b-30520.jpg,2018-06-11 13:50:54
166777,Hamamelis virginiana,"22947*C, Tree 11",,,,,,,,1951-07-01,,2018-05-25,,,,,https://mynpn.usanpn.org/images/7f88284e61e310b84c6ff586689f888-30520.jpg,2018-06-11 13:51:44
166778,Hamamelis virginiana,"493-2009*A, Tree 12",,,,,,,,2009-08-10,,2018-05-25,,,,,https://mynpn.usanpn.org/images/ab60dba37d992e6c9ba2f16bbce54c94-30520.jpg,2018-06-11 13:52:32
166779,Hamamelis virginiana,"14693*A, Tree 13",,,,,,,,1883-09-20,,2018-05-25,,,,,https://mynpn.usanpn.org/images/3d3d8fc14f4ed2406236e5b3356eba-30520.jpg,2018-06-11 13:53:23
166780,Hamamelis virginiana,"14693*B, Tree 14",,,,,,,,1883-09-20,,2018-05-25,,,,,https://mynpn.usanpn.org/images/f070a6b4264de9969e4c797aea9ea71b-30520.jpg,2018-06-11 13:54:11
169165,Viburnum nudum,"593-2008*A, Tree 6",,,,,,,,--,,2018-06-19,,,,,https://mynpn.usanpn.org/images/70aad5f47fd13c145fdfda623117bca-30520.jpg,2018-06-19 07:38:25
169166,Viburnum nudum,"593-2008*B, Tree 7",,,,,,,,2008-10-16,,2018-06-19,,,,,https://mynpn.usanpn.org/images/f1ffc4b8c8c8bc78f94f7c8c2fabc417-30520.jpg,2018-06-19 07:40:42
169167,Viburnum nudum,"593-2008*C, Tree 8",,,,,,,,2008-10-16,,2018-06-19,,,,,https://mynpn.usanpn.org/images/4a808e178c5e80da5b86efaa3598fdbf-30520.jpg,2018-06-19 07:42:08
169168,Viburnum nudum,"593-2008*D, Tree 9",,,,,,,,2008-10-16,,2018-06-19,,,,,https://mynpn.usanpn.org/images/56b9a26b602e4938b1f6f8e1dd659330-30520.jpg,2018-06-19 07:43:29
169171,Viburnum nudum,"1104-81*A, Tree 11",,,,,,,,1982-04-13,,2018-06-19,,,,,https://mynpn.usanpn.org/images/2cc6a2a31d9366e154a27b253552f1-30520.jpg,2018-06-19 11:37:11
